SampleID	marker	SRA_accession	BioSample_accession	BioProject_accession
WSH16_winter	12S	SRR8135177	SAMN09702349	PRJNA482277
WSH17_winter	12S	SRR8135178	SAMN09702350	PRJNA482277
WSH18_winter	12S	SRR8135171	SAMN09702351	PRJNA482277
WSH19_winter	12S	SRR8135172	SAMN09702352	PRJNA482277
WSH20_winter	12S	SRR8135173	SAMN09702353	PRJNA482277
WSH21_winter	12S	SRR8135174	SAMN09702354	PRJNA482277
WSH22_winter	12S	SRR8135169	SAMN09702355	PRJNA482277
WSH23_winter	12S	SRR8135170	SAMN09702356	PRJNA482277
WSH24_winter	12S	SRR8135152	SAMN09702357	PRJNA482277
WSH25_winter	12S	SRR8135151	SAMN09702358	PRJNA482277
WSH26_winter	12S	SRR8135150	SAMN09702359	PRJNA482277
WSH27_winter	12S	SRR8135149	SAMN09702360	PRJNA482277
WSH28_winter	12S	SRR8135156	SAMN09702361	PRJNA482277
WSH29_winter	12S	SRR8135155	SAMN09702362	PRJNA482277
WSH30_winter	12S	SRR8135154	SAMN09702363	PRJNA482277
WSH31_winter	12S	SRR8135153	SAMN09702364	PRJNA482277
WSH32_winter	12S	SRR8135158	SAMN09702365	PRJNA482277
WSH33_winter	12S	SRR8135157	SAMN09702366	PRJNA482277
WSH34_winter	12S	SRR8135220	SAMN09702367	PRJNA482277
WSH35_winter	12S	SRR8135310	SAMN09702368	PRJNA482277
WSH36_winter	12S	SRR8135307	SAMN09702369	PRJNA482277
WSH37_winter	12S	SRR8135308	SAMN09702370	PRJNA482277
WSH38_winter	12S	SRR8135305	SAMN09702371	PRJNA482277
WSH39_winter	12S	SRR8135306	SAMN09702372	PRJNA482277
WSH40_winter	12S	SRR8135303	SAMN09702373	PRJNA482277
WOF01_summer	Cytb	SRR7550026	SAMN09702374	PRJNA482277
WOF02_summer	Cytb	SRR7550025	SAMN09702375	PRJNA482277
WOF03_summer	Cytb	SRR7550024	SAMN09702376	PRJNA482277
WOF04_summer	Cytb	SRR7550029	SAMN09702377	PRJNA482277
WOF05_summer	Cytb	SRR7550028	SAMN09702378	PRJNA482277
WOF06_summer	Cytb	SRR7549946	SAMN09702379	PRJNA482277
WOF07_summer	Cytb	SRR7549945	SAMN09702380	PRJNA482277
WOF08_summer	Cytb	SRR7549944	SAMN09702381	PRJNA482277
WOF09_summer_0m	Cytb	SRR7549943	SAMN09702382	PRJNA482277
WOF09_summer_mid	Cytb	SRR7549942	SAMN09702383	PRJNA482277
WOF09_summer_40m	Cytb	SRR7549941	SAMN09702384	PRJNA482277
WOF10_summer_0m	Cytb	SRR7549940	SAMN09702385	PRJNA482277
WOF10_summer_mid	Cytb	SRR7549939	SAMN09702386	PRJNA482277
WOF11_summer_0m	Cytb	SRR7549950	SAMN09702387	PRJNA482277
WOF11_summer_mid	Cytb	SRR7549949	SAMN09702388	PRJNA482277
WOF11_summer_60m	Cytb	SRR7549831	SAMN09702389	PRJNA482277
WOF12_summer_0m	Cytb	SRR7549734	SAMN09702390	PRJNA482277
WOF12_summer_mid	Cytb	SRR7549833	SAMN09702391	PRJNA482277
WOF12_summer_40m	Cytb	SRR7549834	SAMN09702392	PRJNA482277
WOF13_summer_0m	Cytb	SRR7549835	SAMN09702393	PRJNA482277
WOF13_summer_mid	Cytb	SRR7549836	SAMN09702394	PRJNA482277
WOF13_summer_40m	Cytb	SRR7549837	SAMN09702395	PRJNA482277
WOF14_summer_0m	Cytb	SRR7549838	SAMN09702396	PRJNA482277
WOF14_summer_mid	Cytb	SRR7549823	SAMN09702397	PRJNA482277
WOF14_summer_30m	Cytb	SRR7549824	SAMN09702398	PRJNA482277
WOF15_summer_mid	Cytb	SRR7549746	SAMN09702399	PRJNA482277
WOF17_summer	Cytb	SRR7549745	SAMN09702400	PRJNA482277
WOF18_summer	Cytb	SRR7549748	SAMN09702401	PRJNA482277
WOF19_summer	Cytb	SRR7549747	SAMN09702402	PRJNA482277
WOF20_summer	Cytb	SRR7549750	SAMN09702403	PRJNA482277
WOF21_summer	Cytb	SRR7549749	SAMN09702404	PRJNA482277
WOF22_summer	Cytb	SRR7549752	SAMN09702405	PRJNA482277
WOF23_summer	Cytb	SRR7549751	SAMN09702406	PRJNA482277
WOF24_summer	Cytb	SRR7549754	SAMN09702407	PRJNA482277
WOF25_summer_mid	Cytb	SRR7549753	SAMN09702408	PRJNA482277
WOF26_summer_0m	Cytb	SRR7550052	SAMN09702409	PRJNA482277
WOF26_summer_mid	Cytb	SRR7550053	SAMN09702410	PRJNA482277
WOF26_summer_25m	Cytb	SRR7550050	SAMN09702411	PRJNA482277
WOF27_summer_0m	Cytb	SRR7550051	SAMN09702412	PRJNA482277
WOF27_summer_mid	Cytb	SRR7550056	SAMN09702413	PRJNA482277
WOF27_summer_30m	Cytb	SRR7550057	SAMN09702414	PRJNA482277
WOF28_summer_0m	Cytb	SRR7550054	SAMN09702415	PRJNA482277
WOF28_summer_mid	Cytb	SRR7550055	SAMN09702416	PRJNA482277
WOF28_summer_40m	Cytb	SRR7550058	SAMN09702417	PRJNA482277
WOF29_summer_mid	Cytb	SRR7550059	SAMN09702418	PRJNA482277
WOF30_summer_0m	Cytb	SRR7549901	SAMN09702419	PRJNA482277
WOF30_summer_mid	Cytb	SRR7549900	SAMN09702420	PRJNA482277
WOF30_summer_30m	Cytb	SRR7549899	SAMN09702421	PRJNA482277
